Files already downloaded and verified
Files already downloaded and verified
[(0, 25), (1, 25), (2, 25), (3, 25)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   7, time= 17.7s | Train: skip eval | Valid: time= 14.0s loss=1.671, TAw acc= 48.8% | *
| Epoch   8, time= 18.2s | Train: skip eval | Valid: time= 14.3s loss=1.668, TAw acc= 49.5% | *
| Epoch   9, time= 17.7s | Train: skip eval | Valid: time= 14.0s loss=1.834, TAw acc= 47.4% |
| Epoch  10, time= 17.7s | Train: skip eval | Valid: time= 14.0s loss=1.960, TAw acc= 43.1% |
| Epoch  11, time= 17.8s | Train: skip eval | Valid: time= 14.0s loss=1.673, TAw acc= 50.2% |
| Epoch  12, time= 17.5s | Train: skip eval | Valid: time= 14.1s loss=2.107, TAw acc= 47.4% |
| Epoch  13, time= 17.7s | Train: skip eval | Valid: time= 14.0s loss=1.693, TAw acc= 53.5% | lr=3.3e-02
| Epoch  14, time= 17.6s | Train: skip eval | Valid: time= 13.9s loss=1.266, TAw acc= 59.2% | *
| Epoch  15, time= 17.5s | Train: skip eval | Valid: time= 13.9s loss=1.347, TAw acc= 59.2% |
| Epoch  16, time= 18.8s | Train: skip eval | Valid: time= 13.5s loss=1.314, TAw acc= 58.0% |
| Epoch  17, time= 16.5s | Train: skip eval | Valid: time= 13.3s loss=1.496, TAw acc= 55.5% |
| Epoch  18, time= 16.3s | Train: skip eval | Valid: time= 13.5s loss=1.329, TAw acc= 60.4% |
| Epoch  19, time= 16.2s | Train: skip eval | Valid: time= 13.2s loss=1.244, TAw acc= 61.1% | *
| Epoch  20, time= 16.7s | Train: skip eval | Valid: time= 13.4s loss=1.479, TAw acc= 56.4% |
| Epoch  21, time= 17.8s | Train: skip eval | Valid: time= 14.0s loss=1.281, TAw acc= 60.0% |
| Epoch  22, time= 17.8s | Train: skip eval | Valid: time= 13.9s loss=1.281, TAw acc= 60.2% |
| Epoch  23, time= 17.7s | Train: skip eval | Valid: time= 14.1s loss=1.278, TAw acc= 59.7% |
| Epoch  24, time= 17.5s | Train: skip eval | Valid: time= 14.0s loss=1.240, TAw acc= 63.2% | *
| Epoch  25, time= 17.7s | Train: skip eval | Valid: time= 14.0s loss=1.268, TAw acc= 61.8% |
| Epoch  26, time= 17.6s | Train: skip eval | Valid: time= 14.0s loss=1.348, TAw acc= 59.6% |
| Epoch  27, time= 17.7s | Train: skip eval | Valid: time= 13.9s loss=1.261, TAw acc= 59.9% |
| Epoch  28, time= 17.9s | Train: skip eval | Valid: time= 14.1s loss=1.271, TAw acc= 60.1% |
| Epoch  29, time= 17.6s | Train: skip eval | Valid: time= 14.0s loss=1.229, TAw acc= 61.4% | *
| Epoch  30, time= 17.8s | Train: skip eval | Valid: time= 14.0s loss=1.214, TAw acc= 63.5% | *
| Epoch  31, time= 17.9s | Train: skip eval | Valid: time= 14.0s loss=1.349, TAw acc= 60.9% |
| Epoch  32, time= 17.8s | Train: skip eval | Valid: time= 14.0s loss=1.325, TAw acc= 58.0% |
| Epoch  33, time= 17.6s | Train: skip eval | Valid: time= 13.4s loss=1.230, TAw acc= 63.2% |
| Epoch  34, time= 18.0s | Train: skip eval | Valid: time= 14.0s loss=1.449, TAw acc= 59.0% |
| Epoch  35, time= 18.1s | Train: skip eval | Valid: time= 15.0s loss=1.248, TAw acc= 61.4% | lr=1.1e-02
| Epoch  36, time= 17.6s | Train: skip eval | Valid: time= 14.2s loss=1.107, TAw acc= 64.2% | *
| Epoch  37, time= 17.6s | Train: skip eval | Valid: time= 13.9s loss=1.102, TAw acc= 64.9% | *
| Epoch  38, time= 17.5s | Train: skip eval | Valid: time= 14.1s loss=1.143, TAw acc= 64.4% |
| Epoch  39, time= 17.7s | Train: skip eval | Valid: time= 14.0s loss=1.112, TAw acc= 64.9% |
| Epoch  40, time= 17.5s | Train: skip eval | Valid: time= 14.0s loss=1.116, TAw acc= 64.8% |
| Epoch  41, time= 17.7s | Train: skip eval | Valid: time= 14.0s loss=1.134, TAw acc= 65.4% |
| Epoch  42, time= 17.7s | Train: skip eval | Valid: time= 14.1s loss=1.140, TAw acc= 63.9% | lr=3.7e-03
| Epoch  43, time= 17.7s | Train: skip eval | Valid: time= 14.0s loss=1.155, TAw acc= 63.3% |
| Epoch  44, time= 17.6s | Train: skip eval | Valid: time= 14.0s loss=1.119, TAw acc= 64.2% |
| Epoch  45, time= 17.8s | Train: skip eval | Valid: time= 13.9s loss=1.129, TAw acc= 65.3% |
| Epoch  46, time= 18.3s | Train: skip eval | Valid: time= 14.0s loss=1.129, TAw acc= 64.5% |
| Epoch  47, time= 17.7s | Train: skip eval | Valid: time= 14.1s loss=1.111, TAw acc= 64.9% | lr=1.2e-03
| Epoch  48, time= 17.7s | Train: skip eval | Valid: time= 14.0s loss=1.125, TAw acc= 65.3% |
| Epoch  49, time= 17.6s | Train: skip eval | Valid: time= 13.9s loss=1.132, TAw acc= 64.2% |
| Epoch  50, time= 17.7s | Train: skip eval | Valid: time= 14.0s loss=1.121, TAw acc= 64.6% |
| Epoch  51, time= 17.6s | Train: skip eval | Valid: time= 14.0s loss=1.122, TAw acc= 65.0% |
| Epoch  52, time= 17.6s | Train: skip eval | Valid: time= 13.9s loss=1.111, TAw acc= 65.1% | lr=4.1e-04
| Epoch  53, time= 17.7s | Train: skip eval | Valid: time= 14.0s loss=1.122, TAw acc= 64.7% |
| Epoch  54, time= 18.2s | Train: skip eval | Valid: time= 14.6s loss=1.115, TAw acc= 65.1% |
| Epoch  55, time= 17.7s | Train: skip eval | Valid: time= 14.0s loss=1.102, TAw acc= 65.4% |
| Epoch  56, time= 17.6s | Train: skip eval | Valid: time= 14.0s loss=1.122, TAw acc= 64.8% |
| Epoch  57, time= 17.7s | Train: skip eval | Valid: time= 13.8s loss=1.111, TAw acc= 65.1% | lr=1.4e-04
| Epoch  58, time= 17.7s | Train: skip eval | Valid: time= 14.1s loss=1.115, TAw acc= 64.6% |
| Epoch  59, time= 17.6s | Train: skip eval | Valid: time= 14.0s loss=1.112, TAw acc= 64.6% |
| Epoch  60, time= 17.6s | Train: skip eval | Valid: time= 13.8s loss=1.134, TAw acc= 64.9% |
| Epoch  61, time= 17.7s | Train: skip eval | Valid: time= 14.0s loss=1.130, TAw acc= 64.6% |
| Epoch  62, time= 17.8s | Train: skip eval | Valid: time= 14.0s loss=1.124, TAw acc= 64.1% | lr=4.6e-05
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=2.506 | TAw acc= 27.7%, forg= 32.9%| TAg acc=  6.6%, forg= 54.0% <<<
>>> Test on task  1 : loss=2.093 | TAw acc= 37.0%, forg= 27.2%| TAg acc=  3.7%, forg= 45.5% <<<
>>> Test on task  2 : loss=1.108 | TAw acc= 65.8%, forg=  0.0%| TAg acc= 61.7%, forg=  0.0% <<<
Save at ../results\cifar100_finetuning
************************************************************************************************************
Task  3
************************************************************************************************************
| Epoch   1, time= 17.9s | Train: skip eval | Valid: time= 14.2s loss=1.601, TAw acc= 49.3% | *
| Epoch   2, time= 17.9s | Train: skip eval | Valid: time= 14.4s loss=1.732, TAw acc= 47.9% |
| Epoch   3, time= 17.6s | Train: skip eval | Valid: time= 14.1s loss=1.326, TAw acc= 58.9% | *
| Epoch   4, time= 17.7s | Train: skip eval | Valid: time= 14.0s loss=1.377, TAw acc= 56.8% |
| Epoch   5, time= 17.8s | Train: skip eval | Valid: time= 14.0s loss=1.984, TAw acc= 48.2% |
| Epoch   6, time= 17.6s | Train: skip eval | Valid: time= 14.1s loss=1.405, TAw acc= 59.8% |
| Epoch   7, time= 17.6s | Train: skip eval | Valid: time= 14.1s loss=1.399, TAw acc= 59.8% |
| Epoch   8, time= 16.9s | Train: skip eval | Valid: time= 13.3s loss=1.533, TAw acc= 54.2% | lr=3.3e-02
| Epoch   9, time= 16.3s | Train: skip eval | Valid: time= 13.7s loss=1.349, TAw acc= 59.8% |
| Epoch  10, time= 16.9s | Train: skip eval | Valid: time= 13.7s loss=1.219, TAw acc= 62.6% | *
| Epoch  11, time= 16.4s | Train: skip eval | Valid: time= 13.4s loss=1.208, TAw acc= 62.8% | *
| Epoch  12, time= 16.3s | Train: skip eval | Valid: time= 13.5s loss=1.315, TAw acc= 61.7% |
| Epoch  13, time= 16.3s | Train: skip eval | Valid: time= 13.7s loss=1.181, TAw acc= 64.3% | *
